local_row,local_col,injected_row_px,injected_col_px,measured_row_px,measured_col_px,error_px
255,143,-0.25,0.4,-0.23737664138155928,0.3770656901819642,0.026178841640519868
255,255,-0.25,0.4,-0.23992298774639872,0.3683227452453002,0.03324145972657314
255,367,-0.25,0.4,-0.23738925104667805,0.38192281639367076,0.02204122402001872
255,479,-0.25,0.4,-0.24437683110861202,0.3856489225409443,0.01541341794077131
367,32,-0.25,0.4,-0.23885183732453646,0.382555246028459,0.020702680313577648
367,143,-0.25,0.4,-0.23591529328414593,0.3851142876524066,0.020493008450857598
367,255,-0.25,0.4,-0.23937707139620862,0.38535856994645257,0.018089170410335895
367,367,-0.25,0.4,-0.23936139783331367,0.37905187810971375,0.023494758283313197
367,479,-0.25,0.4,-0.24550139825354553,0.3806017645639075,0.019913034819114828
479,32,-0.25,0.4,-0.24343293992633708,0.37701276814867524,0.02390688407546367
479,143,-0.25,0.4,-0.23780982432837405,0.37230133636024026,0.030262457770869344
479,255,-0.25,0.4,-0.21172884287371,0.363962961064719,0.05256757216201011
479,367,-0.25,0.4,-0.23227137784625726,0.38321182959720224,0.024416115762822585
479,479,-0.25,0.4,-0.23859149663264337,0.3797166547918415,0.023271614510306626
32,32,1.0,-1.0,0.9874090520253455,-0.9667944762355685,0.0355125158130297
32,143,1.0,-1.0,0.9995395193058595,-0.9749003004909302,0.025103923157850705
32,255,1.0,-1.0,0.9911901076333001,-0.9844036598370518,0.01791256625922787
32,367,1.0,-1.0,0.9943351586894054,-0.9793792142963229,0.02138474292834013
32,479,1.0,-1.0,0.9825847156088191,-0.9844611418693142,0.023339842382314596
143,32,1.0,-1.0,0.9961118283903639,-0.9736893515793013,0.026596392589665188
143,143,1.0,-1.0,0.9910264763981468,-0.968876271048004,0.03239152095395229
143,255,1.0,-1.0,0.9919894512000316,-0.9835700973398788,0.018278692335551096
143,367,1.0,-1.0,0.9891669376258012,-0.9674042333453182,0.034348788103945475
143,479,1.0,-1.0,0.9980925964575353,-0.9805541257072193,0.019539196894561316
255,32,1.0,-1.0,0.990096836007068,-0.979367457575624,0.022886119460593983
255,143,1.0,-1.0,0.9894834877814269,-0.9790171465111396,0.023470772671098386
255,255,1.0,-1.0,0.9925053766168811,-0.9780421655967939,0.023201635100428022
255,367,1.0,-1.0,0.9886326914979596,-0.9868593011879033,0.017375087563831104
255,479,1.0,-1.0,0.9909324743770163,-0.9840905677608289,0.018312019416116907
367,32,1.0,-1.0,0.9990940331957866,-0.9788152616754449,0.02120410134219821
367,143,1.0,-1.0,0.995575572031108,-0.9964822652386117,0.005652434935794753
367,255,1.0,-1.0,0.9809531948955419,-0.9784301486781082,0.02877567150798969
367,367,1.0,-1.0,0.9897544684791985,-0.9771269199240405,0.025062895050352647
367,479,1.0,-1.0,0.9918073721728055,-0.9757370281879487,0.02560880613904751
479,32,1.0,-1.0,0.9950890893240228,-0.9664478444715493,0.03390964736284899
479,143,1.0,-1.0,0.9845270287649037,-0.9720030556226501,0.03198814988883447
479,255,1.0,-1.0,0.9595792939005229,-0.9776232769560483,0.04620120361815289
479,367,1.0,-1.0,0.9868993126367324,-0.987091223529847,0.018391968881728126
479,479,1.0,-1.0,0.9989000175567423,-0.9957397039061011,0.004400009566258385
